Title,Roof,Surface,Vegas Line,Over/Under
"Baltimore Ravens at Kansas City Chiefs - September 5th, 2024",outdoors,grass,Kansas City Chiefs -3.0,47.0 (push)
"Green Bay Packers at Philadelphia Eagles - September 6th, 2024",N/A,N/A,Philadelphia Eagles -2.0,49.5 (over)
"Pittsburgh Steelers at Atlanta Falcons - September 8th, 2024",retractable roof (closed),fieldturf,Atlanta Falcons -3.5,42.0 (under)
"Arizona Cardinals at Buffalo Bills - September 8th, 2024",outdoors,a_turf,Buffalo Bills -6.5,46.5 (over)
"Tennessee Titans at Chicago Bears - September 8th, 2024",outdoors,grass,Chicago Bears -3.5,44.5 (under)
"New England Patriots at Cincinnati Bengals - September 8th, 2024",outdoors,fieldturf,Cincinnati Bengals -7.5,41.0 (under)
"Houston Texans at Indianapolis Colts - September 8th, 2024",retractable roof (open),fieldturf,Houston Texans -2.5,48.5 (over)
"Jacksonville Jaguars at Miami Dolphins - September 8th, 2024",outdoors,grass,Miami Dolphins -3.5,49.5 (under)
"Carolina Panthers at New Orleans Saints - September 8th, 2024",dome,sportturf,New Orleans Saints -4.0,41.5 (over)
"Minnesota Vikings at New York Giants - September 8th, 2024",outdoors,fieldturf,Minnesota Vikings -1.5,41.0 (under)
"Las Vegas Raiders at Los Angeles Chargers - September 8th, 2024",dome,matrixturf,Los Angeles Chargers -3.0,40.0 (under)
"Denver Broncos at Seattle Seahawks - September 8th, 2024",outdoors,fieldturf,Seattle Seahawks -6.0,42.0 (over)
"Dallas Cowboys at Cleveland Browns - September 8th, 2024",outdoors,grass,Cleveland Browns -2.5,41.0 (over)
"Washington Commanders at Tampa Bay Buccaneers - September 8th, 2024",outdoors,grass,Tampa Bay Buccaneers -3.5,42.5 (over)
"Los Angeles Rams at Detroit Lions - September 8th, 2024",dome,fieldturf,Detroit Lions -4.5,52.5 (under)
"New York Jets at San Francisco 49ers - September 9th, 2024",outdoors,grass,San Francisco 49ers -4.0,43.5 (over)
"Buffalo Bills at Miami Dolphins - September 12th, 2024",outdoors,grass,Miami Dolphins -2.0,49.0 (under)
"Los Angeles Chargers at Carolina Panthers - September 15th, 2024",outdoors,grass,Los Angeles Chargers -5.0,38.5 (under)
"New Orleans Saints at Dallas Cowboys - September 15th, 2024",retractable roof (closed),matrixturf,Dallas Cowboys -6.0,46.5 (over)
"Tampa Bay Buccaneers at Detroit Lions - September 15th, 2024",dome,fieldturf,Detroit Lions -7.5,51.5 (under)
"Indianapolis Colts at Green Bay Packers - September 15th, 2024",outdoors,grass,Indianapolis Colts -2.5,40.5 (under)
"Cleveland Browns at Jacksonville Jaguars - September 15th, 2024",outdoors,grass,Jacksonville Jaguars -3.0,41.0 (under)
"San Francisco 49ers at Minnesota Vikings - September 15th, 2024",dome,sportturf,San Francisco 49ers -4.5,46.0 (under)
"Seattle Seahawks at New England Patriots - September 15th, 2024",outdoors,fieldturf,Seattle Seahawks -3.0,38.0 (over)
"New York Jets at Tennessee Titans - September 15th, 2024",outdoors,grass,New York Jets -3.5,41.0 (push)
"Las Vegas Raiders at Baltimore Ravens - September 15th, 2024",outdoors,grass,Baltimore Ravens -9.0,41.5 (over)
"New York Giants at Washington Commanders - September 15th, 2024",outdoors,grass,Washington Commanders -1.0,43.0 (under)
"Los Angeles Rams at Arizona Cardinals - September 15th, 2024",retractable roof (closed),grass,Pick,47.5 (over)
"Pittsburgh Steelers at Denver Broncos - September 15th, 2024",outdoors,grass,Pittsburgh Steelers -2.5,36.5 (under)
"Cincinnati Bengals at Kansas City Chiefs - September 15th, 2024",outdoors,grass,Kansas City Chiefs -6.0,48.0 (over)
"Chicago Bears at Houston Texans - September 15th, 2024",retractable roof (open),astroturf,Houston Texans -6.0,45.0 (under)
"Atlanta Falcons at Philadelphia Eagles - September 16th, 2024",outdoors,grass,Philadelphia Eagles -5.5,45.5 (under)
"New England Patriots at New York Jets - September 19th, 2024",outdoors,fieldturf,New York Jets -6.0,38.5 (under)
"New York Giants at Cleveland Browns - September 22nd, 2024",outdoors,grass,Cleveland Browns -6.5,38.5 (under)
"Chicago Bears at Indianapolis Colts - September 22nd, 2024",retractable roof (closed),fieldturf,Indianapolis Colts -1.0,43.5 (under)
"Houston Texans at Minnesota Vikings - September 22nd, 2024",dome,sportturf,Houston Texans -1.0,46.5 (under)
"Philadelphia Eagles at New Orleans Saints - September 22nd, 2024",dome,sportturf,New Orleans Saints -2.5,49.5 (under)
"Green Bay Packers at Tennessee Titans - September 22nd, 2024",outdoors,grass,Tennessee Titans -3.0,37.5 (over)
"Los Angeles Chargers at Pittsburgh Steelers - September 22nd, 2024",outdoors,grass,Pittsburgh Steelers -1.0,34.5 (under)
"Denver Broncos at Tampa Bay Buccaneers - September 22nd, 2024",outdoors,grass,Tampa Bay Buccaneers -6.0,41.0 (under)
"Carolina Panthers at Las Vegas Raiders - September 22nd, 2024",dome,grass,Las Vegas Raiders -5.5,40.0 (over)
"Miami Dolphins at Seattle Seahawks - September 22nd, 2024",outdoors,fieldturf,Seattle Seahawks -4.5,41.5 (under)
"Detroit Lions at Arizona Cardinals - September 22nd, 2024",retractable roof (closed),grass,Detroit Lions -2.5,51.5 (under)
"Baltimore Ravens at Dallas Cowboys - September 22nd, 2024",retractable roof (closed),matrixturf,Baltimore Ravens -1.0,48.0 (over)
"San Francisco 49ers at Los Angeles Rams - September 22nd, 2024",dome,matrixturf,San Francisco 49ers -6.5,43.5 (over)
"Kansas City Chiefs at Atlanta Falcons - September 22nd, 2024",retractable roof (open),fieldturf,Kansas City Chiefs -3.0,46.5 (under)
"Jacksonville Jaguars at Buffalo Bills - September 23rd, 2024",outdoors,a_turf,Buffalo Bills -5.5,45.5 (over)
"Washington Commanders at Cincinnati Bengals - September 23rd, 2024",outdoors,fieldturf,Cincinnati Bengals -7.5,46.5 (over)
"Dallas Cowboys at New York Giants - September 26th, 2024",outdoors,fieldturf,Dallas Cowboys -6.0,45.5 (under)
