,home-score,away-score,home-off,home-pass,home-pblk,home-recv,home-run,home-rblk,away-off,away-pass,away-pblk,away-recv,away-run,away-rblk,home-def,home-rdef,home-tack,home-prsh,home-cov,away-def,away-rdef,away-tack,away-prsh,away-cov
AC-BB-09/08/2024,34,28,77.4,62.4,78.4,74.5,83.8,69.0,67.4,69.3,72.5,58.5,59.9,70.8,58.0,52.8,53.9,64.8,57.8,50.8,57.4,59.1,52.8,48.8
LAR-AC-09/15/2024,41,10,87.8,95.5,76.6,90.7,70.7,59.8,62.1,56.7,56.2,69.8,63.1,47.1,66.4,80.5,53.8,71.6,51.9,47.7,62.6,29.4,53.5,33.5
DL-AC-09/22/2024,13,20,66.8,57.8,63.6,71.5,64.2,53.5,82.2,70.1,87.0,73.7,77.6,77.6,52.5,51.9,66.4,50.7,55.9,66.5,69.8,62.0,64.9,64.2
WC-AC-09/29/2024,14,42,71.9,59.1,57.6,63.3,72.1,77.2,80.6,84.4,88.5,73.1,83.2,57.7,56.9,57.3,56.1,48.5,61.8,61.7,51.6,72.2,67.2,65.7
AC-SF-10/06/2024,23,24,74.8,67.5,76.6,70.8,67.0,69.8,76.1,73.8,70.9,70.7,74.0,65.3,58.2,43.8,41.0,65.8,67.1,65.6,66.2,43.4,61.7,62.0
PS-AF-09/08/2024,10,18,62.5,42.0,44.3,65.4,81.4,64.5,65.1,77.4,81.3,58.7,59.0,61.8,65.5,64.0,61.5,54.2,69.8,74.6,54.0,57.5,90.6,70.8
AF-PE-09/16/2024,21,22,75.3,67.1,79.3,64.7,85.9,64.5,76.2,74.7,67.5,69.4,65.3,77.6,55.6,47.2,42.5,77.3,51.5,59.5,50.3,44.3,50.9,69.2
KC-AF-09/22/2024,17,22,70.9,65.0,59.0,71.8,66.2,64.1,66.1,56.4,74.8,65.8,76.3,51.2,64.7,70.5,50.3,50.4,65.2,58.5,56.0,66.9,68.7,59.0
NOS-AF-09/29/2024,26,24,72.8,68.9,59.8,68.5,83.8,67.5,77.5,86.6,49.4,75.3,77.3,59.7,68.7,70.2,75.0,74.6,58.8,64.3,61.5,50.4,76.6,54.1
TBB-AF-10/03/2024,36,30,75.8,82.6,62.8,75.9,69.1,49.4,81.5,85.7,77.2,72.4,84.8,58.5,47.7,54.2,28.4,51.5,47.9,57.1,56.6,47.5,63.2,53.5
BR-KC-09/05/2024,27,20,76.7,83.0,59.5,70.8,76.8,64.1,67.0,58.8,75.3,63.0,79.5,62.4,62.6,54.2,51.2,63.0,64.0,54.6,57.4,49.4,68.4,51.1
