Rank,Team Conference,Record,AdjEM,AdjO,AdjO_Rank,AdjD,AdjD_Rank,AdjT,AdjT_Rank,Luck,Luck_Rank,SOS_AdjEM,SOS_AdjEM_Rank,OppO,OppO_Rank,OppD,OppD_Rank,NCSOS_AdjEM,NCSOS_AdjEM_Rank,Year
1,Duke,ACC,31-3,+38.26,128.0,3,89.7,4,65.8,267,-.019,232,+10.12,56,112.5,47,102.4,62,+9.35,21
2,Florida,SEC,30-4,+36.19,128.6,1,92.5,9,69.6,59,+.007,159,+14.48,16,114.6,17,100.1,19,-1.97,232
3,Houston,B12,30-4,+35.42,123.2,10,87.8,2,61.5,360,+.015,138,+13.68,24,113.6,33,99.9,17,+2.59,100
4,Auburn,SEC,28-5,+35.11,128.5,2,93.4,12,67.6,154,+.030,100,+19.07,2,117.1,2,98.1,2,+10.39,19
5,Tennessee,SEC,27-7,+31.14,120.3,18,89.1,3,63.7,346,+.016,135,+15.96,7,116.7,4,100.7,34,-0.87,202
6,Alabama,SEC,25-8,+30.01,126.6,4,96.5,31,74.9,1,+.029,103,+19.60,1,118.3,1,98.7,3,+12.10,10
7,Texas Tech,B12,25-8,+28.04,125.3,5,97.3,37,65.5,281,-.045,293,+11.26,50,111.9,58,100.6,31,-4.68,305
8,Michigan St.,B10,27-6,+27.62,118.2,28,90.6,5,67.8,143,-.009,206,+13.41,27,114.3,23,100.9,39,+0.41,155
9,Gonzaga,WCC,25-8,+27.29,123.6,9,96.3,29,70.2,46,-.074,341,+7.04,72,110.8,74,103.8,79,+8.76,26
10,Iowa St.,B12,24-9,+27.01,119.5,21,92.5,10,68.6,103,-.048,298,+12.67,36,113.4,37,100.7,37,-0.85,201
11,St. John's,BE,30-4,+26.41,113.9,64,87.5,1,70.2,49,-.019,233,+9.16,61,111.9,59,102.7,65,-0.04,173
12,Maryland,B10,25-8,+26.37,118.2,27,91.8,6,69.9,57,-.038,279,+10.99,52,113.1,42,102.1,55,-10.36,359
13,Wisconsin,B10,26-9,+25.99,122.1,13,96.1,28,67.6,152,-.033,270,+13.91,22,114.3,22,100.4,26,-0.10,174
14,Arizona,B12,22-12,+25.73,122.6,12,96.9,33,69.9,54,-.049,303,+16.41,4,115.3,7,98.9,4,+5.05,53
15,Missouri,SEC,22-11,+24.44,125.3,6,100.9,71,68.2,121,-.048,297,+13.10,32,113.8,26,100.7,33,-9.25,355
16,Kentucky,SEC,22-11,+24.26,123.8,8,99.6,56,71.0,23,+.007,157,+17.86,3,116.9,3,99.0,6,+3.76,75
17,Texas A&M,SEC,22-10,+24.06,116.2,44,92.1,7,66.2,238,+.001,175,+16.14,5,115.5,5,99.4,10,+7.10,40
18,Clemson,ACC,27-6,+23.93,118.7,24,94.8,16,64.3,327,-.032,267,+8.32,68,111.5,63,103.2,73,+3.69,79
19,Purdue,B10,22-11,+23.87,124.3,7,100.4,64,65.0,297,-.007,198,+15.76,9,115.4,6,99.7,15,+10.41,18
20,Illinois,B10,21-12,+23.59,121.7,15,98.1,41,71.4,18,-.018,230,+15.98,6,115.0,10,99.0,7,+3.41,83
21,Kansas,B12,21-12,+23.29,116.0,49,92.7,11,68.4,113,-.024,250,+15.56,12,114.9,12,99.4,9,+8.77,25
22,Saint Mary's,WCC,28-5,+23.14,115.3,56,92.2,8,61.7,359,+.005,162,+5.43,87,111.1,71,105.6,121,+5.15,48
23,Louisville,ACC,27-7,+22.70,118.2,29,95.5,21,68.8,91,+.058,55,+10.43,54,112.7,45,102.3,59,+7.11,39
24,BYU,B12,24-9,+22.36,123.0,11,100.7,69,67.3,180,+.036,85,+11.11,51,111.9,60,100.7,36,-7.91,347
25,Michigan,B10,25-9,+22.32,116.0,48,93.7,13,69.5,64,+.070,41,+14.91,13,114.5,18,99.6,11,+3.87,72
26,Mississippi,SEC,22-11,+22.09,117.9,31,95.8,23,68.1,130,+.018,132,+15.82,8,115.2,8,99.3,8,-0.56,194
27,UCLA,B10,22-10,+21.78,116.9,36,95.1,17,64.9,301,-.008,203,+12.61,37,113.7,28,101.1,45,-5.19,313
28,Marquette,BE,23-10,+21.64,117.7,32,96.0,26,67.6,155,-.013,215,+12.60,38,113.2,40,100.6,30,+8.79,24
29,Baylor,B12,19-14,+21.16,120.9,16,99.7,57,64.6,320,-.054,314,+15.72,10,113.8,27,98.1,1,+7.69,33
30,North Carolina,ACC,23-13,+20.63,119.8,19,99.2,52,70.5,34,-.021,243,+12.32,40,113.3,39,101.0,43,+13.32,7
31,VCU,A10,28-6,+20.28,116.2,46,95.9,24,66.1,243,-.051,310,+1.01,127,106.8,159,105.8,125,-4.07,293
32,Oregon,B10,24-9,+20.12,116.6,39,96.5,30,67.7,151,+.085,27,+14.14,20,114.4,19,100.3,23,+4.08,68
33,Mississippi St.,SEC,21-12,+20.11,118.8,23,98.7,45,68.2,124,+.012,145,+14.83,14,115.1,9,100.3,22,+0.66,149
34,Connecticut,BE,23-10,+19.37,121.9,14,102.6,95,63.8,343,-.019,234,+10.16,55,112.2,52,102.0,54,-0.13,177
35,Georgia,SEC,20-12,+19.35,115.4,54,96.1,27,66.5,221,-.001,183,+13.61,25,113.9,25,100.3,24,-5.40,322
36,Creighton,BE,24-10,+18.71,116.9,35,98.2,42,67.1,192,+.049,70,+11.52,46,112.3,50,100.7,35,+5.42,46
37,UC San Diego,BW,30-4,+18.40,115.1,60,96.7,32,65.7,272,+.010,152,-1.96,189,105.7,219,107.7,189,-2.01,233
38,Oklahoma,SEC,20-13,+18.32,119.0,22,100.7,70,68.6,106,+.005,161,+14.62,15,114.6,16,100.0,18,-5.42,323
39,Ohio St.,B10,17-15,+18.31,117.6,33,99.3,54,67.0,195,-.070,332,+14.39,18,114.7,14,100.3,25,+3.09,91
40,Arkansas,SEC,20-13,+17.71,112.9,73,95.2,18,69.4,68,-.008,202,+13.87,23,114.8,13,100.9,41,-2.51,249
41,Xavier,BE,22-11,+17.54,116.2,43,98.7,46,69.1,76,-.011,213,+9.75,59,111.3,66,101.6,53,-1.14,210
42,New Mexico,MWC,26-7,+17.02,112.4,83,95.4,20,72.7,4,-.000,179,+6.02,82,109.0,93,103.0,70,+5.14,49
43,Colorado St.,MWC,25-9,+16.96,116.1,47,99.1,51,66.0,251,+.025,117,+5.57,86,109.3,90,103.7,78,+1.43,131
44,Texas,SEC,19-16,+16.83,117.1,34,100.3,60,67.4,174,-.067,328,+14.16,19,114.3,24,100.1,20,-8.23,349
45,45,Northwestern,B10,17-16,+16.39,113.9,65,97.5,39,65.0,298,-.089,350,+12.43,39,113.7,32,101.2,48,-2.12,237
46,46,SMU,ACC,23-10,+16.24,116.7,37,100.4,65,68.5,109,+.011,148,+6.06,81,110.3,79,104.2,91,-3.80,283
47,47,Indiana,B10,19-13,+16.21,113.7,67,97.5,38,67.9,137,+.024,119,+13.33,28,114.4,20,101.1,44,+1.36,132
48,Vanderbilt,SEC,20-12,+16.14,117.9,30,101.8,84,69.5,63,+.025,113,+12.91,33,113.7,30,100.8,38,-6.83,343
49,Boise St.,MWC,24-10,+15.58,115.8,51,100.2,59,65.2,291,+.004,169,+6.12,80,109.0,92,102.9,68,+1.64,124
50,Memphis,Amer,29-5,+15.47,113.3,72,97.8,40,70.8,27,+.090,20,+6.18,79,111.2,68,105.0,102,+15.70,4
51,West Virginia,B12,19-13,+15.11,109.1,132,94.0,14,64.2,329,+.023,121,+13.22,30,113.0,43,99.8,16,+1.01,138
52,Santa Clara,WCC,21-12,+14.95,116.5,40,101.6,78,68.9,89,-.054,313,+3.84,97,109.4,88,105.6,117,+3.66,80
53,San Diego St.,MWC,21-10,+14.92,109.6,118,94.7,15,66.1,244,+.028,107,+9.01,62,111.3,65,102.3,60,+13.03,8
54,Utah St.,MWC,26-7,+14.89,120.6,17,105.7,150,67.6,159,+.086,24,+5.38,89,108.6,99,103.2,74,+0.75,144
55,55,Nebraska,B10,17-14,+14.84,113.3,71,98.4,43,67.4,173,-.010,207,+12.21,42,113.7,29,101.5,51,-3.00,265
56,56,Cincinnati,B12,18-15,+14.80,110.5,101,95.7,22,65.5,280,-.049,302,+11.42,48,112.4,49,100.9,42,-4.97,310
57,57,Villanova,BE,19-14,+14.27,118.3,26,104.0,113,63.1,354,-.072,335,+7.75,69,110.5,77,102.7,66,-6.31,334
58,Drake,MVC,30-3,+14.21,112.7,75,98.5,44,58.8,364,+.004,166,-0.40,160,107.3,140,107.7,188,-2.64,252
59,McNeese,Slnd,27-6,+13.80,114.3,63,100.5,66,65.4,283,-.023,249,-2.35,204,104.8,267,107.1,164,+8.97,23
60,Liberty,CUSA,28-6,+13.78,112.6,78,98.8,48,65.4,285,+.000,177,+0.68,135,106.1,197,105.4,115,-2.85,257
61,61,Pittsburgh,ACC,17-15,+13.70,115.7,52,102.0,86,66.3,234,-.068,330,+8.83,63,111.9,57,103.1,71,+3.74,78
62,Penn St.,B10,16-15,+13.65,114.7,62,101.1,72,69.9,56,-.093,354,+9.35,60,111.9,56,102.6,64,-10.56,360
63,63,USC,B10,16-17,+12.93,116.7,38,103.7,107,68.2,122,-.043,290,+12.15,43,113.3,38,101.2,46,-2.15,238
64,64,Iowa,B10,17-16,+12.82,119.6,20,106.8,175,69.6,61,-.037,277,+12.29,41,113.6,34,101.3,49,-8.38,350
65,San Francisco,WCC,24-9,+12.68,111.8,90,99.1,50,67.8,144,+.053,64,+3.76,98,109.6,85,105.8,126,-1.12,208
66,Kansas St.,B12,16-17,+12.23,109.4,123,97.2,36,67.0,196,-.037,276,+12.88,34,112.5,48,99.6,12,-1.13,209
67,UC Irvine,BW,28-6,+12.08,107.4,158,95.3,19,68.7,98,+.059,53,+0.47,138,107.1,148,106.6,145,+4.28,65
68,68,UCF,B12,17-16,+11.61,115.4,53,103.8,112,71.9,11,+.025,115,+12.03,44,111.7,62,99.6,13,-1.05,205
69,South Carolina,SEC,12-20,+11.49,110.4,103,98.9,49,65.3,287,-.088,349,+14.48,17,114.9,11,100.4,29,-1.97,231
70,North Texas,Amer,25-8,+11.38,110.2,106,98.8,47,60.4,362,-.017,228,+0.98,129,108.6,100,107.6,183,+1.77,121
71,Wake Forest,ACC,21-11,+11.32,108.3,145,96.9,34,67.1,190,+.088,22,+8.70,65,111.4,64,102.7,67,-2.08,236
72,Arizona St.,B12,13-19,+11.24,112.5,81,101.3,76,68.4,111,-.019,235,+15.63,11,114.6,15,99.0,5,+8.33,30
73,73,Dayton,A10,23-10,+11.03,116.0,50,104.9,133,65.9,256,+.038,83,+4.83,91,108.5,102,103.7,77,+4.90,55
74,Yale,Ivy,22-7,+11.03,115.1,58,104.1,119,67.2,183,-.041,285,-2.54,215,106.5,176,109.0,258,-0.77,200
75,75,Rutgers,B10,15-17,+10.76,115.1,59,104.4,122,68.7,100,-.012,214,+13.29,29,113.5,36,100.3,21,-2.21,241
76,76,Butler,BE,14-19,+10.62,116.2,45,105.6,148,67.5,168,-.077,343,+11.48,47,112.2,51,100.7,32,+3.08,92
77,77,Utah,B12,16-16,+10.61,112.4,82,101.8,83,68.8,92,-.050,304,+10.60,53,112.1,54,101.5,52,-9.43,356
78,George Mason,A10,27-8,+10.53,106.5,183,95.9,25,64.6,319,+.074,36,+0.97,130,107.5,129,106.5,144,-5.24,317
79,79,Stanford,ACC,21-13,+9.98,112.6,79,102.6,96,66.0,252,+.045,76,+5.85,83,109.7,83,103.8,80,-3.85,285
80,80,Nevada,MWC,17-16,+9.69,112.7,76,103.0,97,63.8,342,-.093,353,+5.15,90,109.0,94,103.8,81,+2.02,117
81,81,Colorado,B12,14-20,+9.52,108.8,138,99.3,53,67.7,148,-.042,287,+13.46,26,113.1,41,99.6,14,-1.52,223
82,Lipscomb,ASun,25-9,+9.45,112.7,74,103.3,101,65.9,259,-.028,263,-4.58,282,105.6,227,110.2,334,+3.97,69
83,Saint Joseph's,A10,22-13,+9.37,109.8,113,100.4,62,68.0,131,-.070,333,+0.78,134,106.8,157,106.1,130,-4.29,301
84,High Point,BSth,29-5,+9.35,118.5,25,109.2,226,66.5,222,+.011,147,-5.44,297,104.4,282,109.9,317,-5.81,328
85,Oregon St.,WCC,20-12,+9.31,116.3,41,106.9,180,63.8,344,-.029,264,+0.94,131,107.1,145,106.2,137,-4.57,304
86,Arkansas St.,SB,25-10,+9.03,111.2,95,102.2,90,70.1,51,-.039,281,-2.10,198,105.1,250,107.2,167,+0.99,139
87,87,Georgetown,BE,17-15,+8.90,108.4,143,99.5,55,68.3,120,-.037,274,+6.43,77,109.9,81,103.5,75,-11.40,362
88,88,TCU,B12,16-16,+8.89,105.9,201,97.0,35,66.6,217,+.030,101,+13.18,31,113.6,35,100.4,27,+2.91,94
89,89,LSU,SEC,14-18,+8.64,109.0,133,100.4,63,68.0,136,-.062,323,+13.91,21,114.3,21,100.4,28,-6.93,344
90,Florida St.,ACC,17-15,+8.48,108.8,139,100.3,61,69.5,62,-.007,197,+6.53,76,110.4,78,103.8,82,-2.46,247
91,91,Minnesota,B10,15-17,+8.46,110.2,107,101.7,81,62.7,357,+.025,114,+11.63,45,113.0,44,101.4,50,-5.99,333
92,92,Bradley,MVC,27-8,+7.33,111.1,96,103.8,109,65.8,266,+.100,17,+0.24,143,107.8,116,107.5,177,-2.81,254
93,Troy,SB,23-10,+7.18,107.8,152,100.6,67,66.3,230,-.009,204,-2.58,217,105.5,232,108.1,207,+1.35,133
94,Grand Canyon,WAC,26-7,+7.18,107.8,151,100.6,68,71.5,15,+.019,128,-3.49,254,103.1,304,106.6,148,-3.27,275
95,95,UNLV,MWC,18-15,+7.18,107.4,157,100.2,58,65.7,268,+.010,153,+5.73,84,109.8,82,104.1,86,+3.76,76
96,Notre Dame,ACC,15-18,+7.11,111.3,92,104.2,121,64.7,313,-.046,294,+7.65,71,111.2,67,103.6,76,-0.20,181
97,97,Providence,BE,12-20,+6.98,112.1,87,105.1,138,66.3,232,-.097,356,+9.76,58,112.0,55,102.2,57,-0.57,195
98,Akron,MAC,28-6,+6.93,113.9,66,107.0,181,71.4,16,+.071,38,-4.01,271,104.9,264,108.9,250,+1.72,123
99,Oklahoma St.,B12,16-17,+6.49,108.2,146,101.7,80,71.6,14,+.079,29,+11.33,49,112.5,46,101.2,47,-3.04,267
100,Georgia Tech,ACC,17-17,+6.10,107.3,162,101.2,74,68.7,99,-.001,184,+6.33,78,110.5,76,104.2,89,-7.95,348
101,101,UAB,Amer,23-12,+6.09,116.2,42,110.2,245,69.1,73,-.014,217,-0.33,159,106.5,174,106.8,152,-8.53,351
102,Northern Iowa,MVC,20-12,+5.82,109.9,111,104.1,117,65.0,299,-.006,192,+0.08,148,107.2,144,107.1,161,-1.49,220
103,103,Virginia,ACC,15-17,+5.28,110.6,99,105.4,142,61.1,361,+.016,137,+8.73,64,111.1,69,102.4,63,+0.90,141
104,104,Chattanooga,SC,25-9,+5.26,115.3,57,110.1,243,66.5,218,+.052,66,-2.40,207,105.2,249,107.6,181,+0.21,162
105,Jacksonville St.,CUSA,23-12,+5.21,110.0,110,104.8,129,64.9,302,+.045,75,+2.26,110,107.5,126,105.2,109,+0.03,171
106,UNC Wilmington,CAA,27-7,+5.17,112.3,85,107.2,184,65.4,284,+.055,59,-4.56,281,104.9,262,109.5,293,-4.95,309
107,107,Washington,B10,13-18,+5.03,109.1,131,104.1,116,67.7,150,+.011,151,+12.77,35,113.7,31,100.9,40,-4.23,299
108,Loyola Chicago,A10,22-11,+4.72,107.2,165,102.5,94,66.9,205,+.067,43,+0.34,141,106.5,172,106.2,139,-9.05,354
109,North Alabama,ASun,24-11,+4.69,111.3,94,106.6,169,66.8,213,-.003,188,-5.02,291,105.0,258,110.0,329,-3.05,268
110,110,California,ACC,14-19,+4.66,111.3,93,106.6,172,67.5,162,-.038,280,+6.82,75,111.0,72,104.2,92,-1.69,229
111,Utah Valley,WAC,25-8,+4.54,106.8,176,102.2,91,68.0,134,+.089,21,-1.85,185,105.1,255,106.9,157,+0.77,142
112,George Washington,A10,21-12,+4.43,107.9,150,103.5,103,66.8,211,-.023,248,-2.21,201,104.6,277,106.8,150,-11.42,363
113,113,Syracuse,ACC,14-19,+4.43,110.4,105,105.9,153,68.2,123,+.026,111,+8.65,66,111.8,61,103.1,72,+2.54,102
114,South Alabama,SB,21-11,+4.43,107.5,155,103.1,99,63.1,353,-.042,288,-3.83,267,104.5,280,108.3,219,-2.84,256
115,115,DePaul,BE,14-19,+4.37,109.7,116,105.3,141,66.9,203,-.038,278,+8.42,67,110.7,75,102.3,58,-9.51,357
116,Florida Atlantic,Amer,18-16,+4.28,112.6,80,108.3,205,68.8,90,-.028,259,+2.79,103,108.3,105,105.6,116,+4.52,62
117,Kent St.,MAC,23-11,+4.23,105.9,198,101.7,82,66.3,229,+.027,110,-3.04,235,106.0,204,109.0,262,+2.11,112
118,118,CSUN,BW,22-11,+4.22,108.9,136,104.7,127,72.3,8,+.013,143,-2.08,197,105.4,236,107.5,178,-5.40,321
119,St. Bonaventure,A10,22-12,+4.18,105.3,209,101.1,73,64.6,318,+.047,73,+1.21,123,107.4,134,106.2,138,-4.26,300
120,Middle Tennessee,CUSA,22-12,+4.16,109.2,128,105.0,134,68.3,117,+.074,34,+2.85,102,107.5,125,104.6,98,+2.93,93
121,Saint Louis,A10,19-15,+4.15,109.3,127,105.1,137,67.6,160,-.001,180,+3.73,99,108.3,106,104.5,97,-0.29,185
122,Wofford,SC,19-15,+4.05,113.6,69,109.5,231,64.1,333,-.032,266,-0.81,163,106.7,162,107.6,180,+5.16,47
123,Northern Colorado,BSky,25-9,+3.93,112.0,88,108.1,203,68.8,94,+.042,78,-4.18,276,105.5,231,109.7,312,+2.11,110
124,Washington St.,WCC,19-14,+3.93,111.7,91,107.7,195,70.6,32,+.076,33,+4.21,96,109.4,87,105.2,107,+2.52,103
125,125,Samford,SC,22-11,+3.87,112.6,77,108.7,215,70.9,25,+.019,129,-2.06,195,105.9,210,107.9,199,-0.13,176
126,Louisiana Tech,CUSA,20-12,+3.87,109.0,135,105.1,136,64.5,324,+.031,97,+1.10,124,106.2,195,105.1,104,-2.32,243
