Rk_AdjEM,Team,Seed,Conf,W-L,Wins,Losses,WinPct,AdjEM,AdjO,Rk_AdjO,AdjD,Rk_AdjD,AdjT,Rk_AdjT,Luck,Rk_Luck,SOS_AdjEM,Rk_SOS_AdjEM,SOS_AdjO,Rk_SOS_AdjO,SOS_AdjD,Rk_SOS_AdjD,NCSOS_AdjEM,Rk_NCSOS_AdjEM
1,Florida,3,SEC,26-7,26,7,0.7878787878787878,34.9,118.4,5,83.5,2,62.5,298,-0.106,337,7.4,25,104.0,64,96.6,31,,55
2,Indiana,1,B10,27-6,27,6,0.8181818181818182,34.1,123.1,1,89.0,19,67.8,86,-0.023,239,9.1,15,105.1,28,96.0,14,,288
3,Louisville,1,BE,29-5,29,5,0.8529411764705882,33.5,114.5,15,81.0,1,67.3,111,-0.03,255,10.1,6,105.8,10,95.7,9,,96
4,Gonzaga,1,WCC,31-2,31,2,0.9393939393939394,31.8,120.0,3,88.2,12,64.6,228,0.033,90,4.3,41,103.6,79,99.3,106,,50
5,Duke,2,ACC,27-5,27,5,0.84375,28.8,119.4,4,90.6,26,67.9,82,0.018,134,9.9,8,106.7,8,96.8,39,,20
6,Ohio State,2,B10,26-7,26,7,0.7878787878787878,28.1,114.6,14,86.5,6,64.3,248,0.019,132,10.1,7,105.4,20,95.3,6,,272
7,Pittsburgh,8,BE,24-8,24,8,0.75,27.8,116.5,9,88.7,17,60.2,340,-0.059,308,4.9,37,103.6,84,98.7,87,,339
8,Kansas,1,B12,29-5,29,5,0.8529411764705882,26.7,112.6,25,85.9,5,67.7,91,0.019,131,6.8,31,105.1,27,98.3,77,,79
9,Michigan,4,B10,26-7,26,7,0.7878787878787878,26.5,120.5,2,94.0,58,65.0,214,-0.011,218,9.2,12,105.6,13,96.4,21,,261
10,Michigan State,3,B10,25-8,25,8,0.7575757575757576,25.4,112.8,24,87.4,8,64.4,244,0.006,162,12.3,1,107.3,2,95.0,3,,155
11,Wisconsin,5,B10,23-11,23,11,0.6764705882352942,25.2,108.8,52,83.6,3,61.9,310,-0.026,248,11.1,4,107.3,1,96.2,20,,204
12,Syracuse,4,BE,26-9,26,9,0.7428571428571429,24.4,114.2,16,89.8,23,64.5,232,-0.002,189,9.5,10,104.7,41,95.2,4,,282
13,Georgetown,2,BE,25-6,25,6,0.8064516129032258,23.7,108.0,60,84.3,4,61.9,313,0.048,56,8.3,18,105.4,17,97.1,42,,285
14,Creighton,7,MVC,27-7,27,7,0.7941176470588235,23.5,118.3,6,94.8,76,65.0,212,-0.021,234,4.8,39,103.2,94,98.4,79,,113
15,Miami (FL),2,ACC,27-6,27,6,0.8181818181818182,23.4,113.2,20,89.8,22,63.3,281,0.028,103,9.1,13,106.4,9,97.3,51,,51
16,Saint Mary's,11,WCC,28-6,28,6,0.8235294117647058,22.2,116.4,10,94.2,63,64.5,237,0.041,74,3.6,44,103.2,90,99.6,111,,138
17,Missouri,9,SEC,23-10,23,10,0.696969696969697,21.9,115.0,13,93.1,48,67.4,102,-0.026,249,5.9,34,103.5,87,97.6,58,,216
18,New Mexico,3,MWC,29-5,29,5,0.8529411764705882,21.4,109.6,46,88.2,11,64.9,219,0.083,18,9.3,11,105.3,21,96.0,11,,42
19,Colorado State,8,MWC,25-8,25,8,0.7575757575757576,21.1,117.7,7,96.6,97,65.0,215,-0.003,192,7.2,28,104.0,66,96.8,37,,170
20,Saint Louis,4,A10,27-6,27,6,0.8181818181818182,21.1,108.1,59,87.0,7,65.1,208,-0.005,197,3.5,45,102.6,112,99.1,101,,259
21,Arizona,6,P12,25-7,25,7,0.78125,21.1,113.2,19,92.1,36,66.9,122,0.006,165,7.7,21,104.5,44,96.8,36,,108
22,VCU,5,A10,26-8,26,8,0.7647058823529411,21.0,113.3,18,92.3,42,68.4,63,-0.01,214,4.3,42,103.6,83,99.3,108,,197
23,Oklahoma State,5,B12,24-8,24,8,0.75,20.3,108.4,55,88.1,10,67.7,93,-0.014,223,6.2,33,105.2,25,99.0,95,,215
24,Minnesota,11,B10,20-12,20,12,0.625,20.2,112.5,26,92.3,41,63.1,288,-0.035,269,11.7,2,107.3,3,95.6,8,,90
