YEAR,BY YEAR NO,BY ROUND NO,Team1_NO,Team1,Seed1,ROUND,CURRENT ROUND,Score1,Team2_NO,Team2,Seed2,ROUND.1,CURRENT ROUND.1,Score2,Team1_Win
2025,2036,0,0,Duke,1,64,64,93.0,0,Mount St. Mary's,16,64,64,49.0,1
2025,2036,1,0,Mississippi St.,8,64,64,72.0,0,Baylor,9,64,64,75.0,0
2025,2036,2,0,Oregon,5,64,64,81.0,0,Liberty,12,64,64,52.0,1
2025,2036,3,0,Arizona,4,64,64,93.0,0,Akron,13,64,64,65.0,1
2025,2036,4,0,BYU,6,64,64,80.0,0,VCU,11,64,64,71.0,1
2025,2036,5,0,Wisconsin,3,64,64,85.0,0,Montana,14,64,64,66.0,1
2025,2036,6,0,Saint Mary's,7,64,64,59.0,0,Vanderbilt,10,64,64,56.0,1
2025,2036,7,0,Alabama,2,64,64,90.0,0,Robert Morris,15,64,64,81.0,1
2025,2036,8,0,Houston,1,64,64,78.0,0,SIUE,16,64,64,40.0,1
2025,2036,9,0,Gonzaga,8,64,64,89.0,0,Georgia,9,64,64,68.0,1
2025,2036,10,0,Clemson,5,64,64,67.0,0,McNeese,12,64,64,69.0,0
2025,2036,11,0,Purdue,4,64,64,75.0,0,High Point,13,64,64,63.0,1
2025,2036,12,0,Illinois,6,64,64,86.0,0,Xavier,11,64,64,73.0,1
2025,2036,13,0,Kentucky,3,64,64,76.0,0,Troy,14,64,64,57.0,1
2025,2036,14,0,UCLA,7,64,64,72.0,0,Utah St.,10,64,64,47.0,1
2025,2036,15,0,Tennessee,2,64,64,77.0,0,Wofford,15,64,64,62.0,1
2025,2036,16,0,Auburn,1,64,64,83.0,0,Alabama St.,16,64,64,63.0,1
2025,2036,17,0,Louisville,8,64,64,75.0,0,Creighton,9,64,64,89.0,0
2025,2036,18,0,Michigan,5,64,64,68.0,0,UC San Diego,12,64,64,65.0,1
2025,2036,19,0,Texas A&M,4,64,64,80.0,0,Yale,13,64,64,71.0,1
2025,2036,20,0,Mississippi,6,64,64,71.0,0,North Carolina,11,64,64,64.0,1
