YEAR,BY YEAR NO,BY ROUND NO,Team1_NO,Team1,Seed1,ROUND,CURRENT ROUND,Score1,Team2_NO,Team2,Seed2,ROUND.1,CURRENT ROUND.1,Score2,Team1_Win,Rank,Team,Conference,W-L,AdjEM,AdjustO,AdjustO Rank,AdjustD,AdjustD Rank,AdjustT,AdjustT Rank,Luck,Luck Rank,SOS AdjEM,SOS AdjEM Rank,SOS OppO,SOS OppO Rank,SOS OppD,SOS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank,Year,Rank_Team2,Team_Team2,Conference_Team2,W-L_Team2,AdjEM_Team2,AdjustO_Team2,AdjustO Rank_Team2,AdjustD_Team2,AdjustD Rank_Team2,AdjustT_Team2,AdjustT Rank_Team2,Luck_Team2,Luck Rank_Team2,SOS AdjEM_Team2,SOS AdjEM Rank_Team2,SOS OppO_Team2,SOS OppO Rank_Team2,SOS OppD_Team2,SOS OppD Rank_Team2,NCSOS AdjEM_Team2,NCSOS AdjEM Rank_Team2,Year_Team2,Bart_Team,Bart_Rank,Bart_AdjOE,Bart_AdjDE,Bart_Barthag,Bart_AdjT,Bart_SOS,Bart_NCSOS,Bart_EliteSOS,Bart_WAB,Bart_QualO,Bart_QualD,Bart_QualBarthag,Bart_Year,Bart_Team_Team2,Bart_Rank_Team2,Bart_AdjOE_Team2,Bart_AdjDE_Team2,Bart_Barthag_Team2,Bart_AdjT_Team2,Bart_SOS_Team2,Bart_NCSOS_Team2,Bart_EliteSOS_Team2,Bart_WAB_Team2,Bart_QualO_Team2,Bart_QualD_Team2,Bart_QualBarthag_Team2,Bart_Year_Team2
2025,2036,0,0,Duke,1,64,64,93.0,0,Mount St. Mary's,16,64,64,49.0,1,1.0,Duke,ACC,31-3,38.26,128.0,3.0,89.7,4.0,65.8,267.0,-0.019,232.0,10.12,56.0,112.5,47.0,102.4,62.0,9.35,21.0,2025.0,238.0,Mount St. Mary's,MAAC,23-12,-6.03,101.1,279.0,107.1,183.0,67.5,165.0,0.147,2.0,-7.16,323.0,102.0,333.0,109.1,267.0,-1.16,211.0,2025.0,Duke,2.0,128.45299865947808,91.27235521437396,0.9807295490177556,65.70601161203474,0.6926588042776931,0.644729530989934,0.6937024836544587,9.589480097511872,133.2953565788253,94.88668962053356,0.9803275093570724,2025.0,Mount St. Mary's,263.0,99.43953925149052,107.47921122381452,0.2902649184107477,67.31737217582847,0.3153396936182325,0.4148385170669259,0.9142524766706122,-8.154536244355677,90.33334899371874,106.10069696649174,0.1358562309268048,2025.0
2025,2036,1,0,Mississippi St.,8,64,64,72.0,0,Baylor,9,64,64,75.0,0,33.0,Mississippi St.,SEC,21-12,20.11,118.8,23.0,98.7,45.0,68.2,124.0,0.012,145.0,14.83,14.0,115.1,9.0,100.3,22.0,0.66,149.0,2025.0,29.0,Baylor,B12,19-14,21.16,120.9,16.0,99.7,57.0,64.6,320.0,-0.054,314.0,15.72,10.0,113.8,27.0,98.1,1.0,7.69,33.0,2025.0,Mississippi St.,32.0,118.33146905656908,98.76414710396168,0.8888140029818876,67.96260491914916,0.7390277292126393,0.522497923053876,0.6130960424001457,2.952506279148655,123.25638041646644,104.78647780027411,0.8661027939140377,2025.0,Baylor,27.0,120.49989695519652,99.27555682582845,0.9027463748807674,64.61952368401806,0.7538383722472766,0.5493914073516155,0.5816390908177199,1.951140242703936,122.49032785330203,107.7899523488755,0.8130950266319188,2025.0
2025,2036,2,0,Oregon,5,64,64,81.0,0,Liberty,12,64,64,52.0,1,32.0,Oregon,B10,24-9,20.12,116.6,39.0,96.5,30.0,67.7,151.0,0.085,27.0,14.14,20.0,114.4,19.0,100.3,23.0,4.08,68.0,2025.0,60.0,Liberty,CUSA,28-6,13.78,112.6,78.0,98.8,48.0,65.4,285.0,0.0,177.0,0.68,135.0,106.1,197.0,105.4,115.0,-2.85,257.0,2025.0,Oregon,39.0,115.13225206039507,97.25465901154858,0.8744190179747394,67.65180463861674,0.7532893704731829,0.5838262073624971,0.6402133688843276,5.312404749952156,130.33466287602386,112.12545992064864,0.8494892883841205,2025.0,Liberty,56.0,112.80813494169088,98.22914582696193,0.8308176278486119,65.36858382030822,0.467918203182853,0.3416394625647258,0.8687457927932354,-0.318059249246585,0.0,0.0,0.0,2025.0
2025,2036,3,0,Arizona,4,64,64,93.0,0,Akron,13,64,64,65.0,1,14.0,Arizona,B12,22-12,25.73,122.6,12.0,96.9,33.0,69.9,54.0,-0.049,303.0,16.41,4.0,115.3,7.0,98.9,4.0,5.05,53.0,2025.0,98.0,Akron,MAC,28-6,6.93,113.9,66.0,107.0,181.0,71.4,16.0,0.071,38.0,-4.01,271.0,104.9,264.0,108.9,250.0,1.72,123.0,2025.0,Arizona,9.0,123.93988554912418,96.46766123201814,0.9469379414567538,69.86235391238591,0.7772464265144614,0.574969843179526,0.5647592664672031,5.399394172038579,124.24482457669528,97.84917574917247,0.939715804197734,2025.0,Akron,100.0,113.69092860750834,106.82974256956882,0.6716910130161435,71.17586705818799,0.3698084120855265,0.430061602607374,0.8917844593530087,-1.829288338795921,114.2976263872212,110.5592048723961,0.59445864868933,2025.0
2025,2036,4,0,BYU,6,64,64,80.0,0,VCU,11,64,64,71.0,1,24.0,BYU,B12,24-9,22.36,123.0,11.0,100.7,69.0,67.3,180.0,0.036,85.0,11.11,51.0,111.9,60.0,100.7,36.0,-7.91,347.0,2025.0,31.0,VCU,A10,28-6,20.28,116.2,46.0,95.9,24.0,66.1,243.0,-0.051,310.0,1.01,127.0,106.8,159.0,105.8,125.0,-4.07,293.0,2025.0,BYU,14.0,125.44319652485432,99.09017260029016,0.9377288058419232,67.1996641685125,0.7028807657136524,0.3857263856680576,0.6437198927990134,4.7722491469056525,132.65847502885617,107.7833227746064,0.9159101819775456,2025.0,VCU,29.0,116.23012757047267,96.00111819306788,0.9001543555914497,66.13428451734889,0.5230579251776859,0.3948690438616459,0.8277201336404043,1.124370476228676,143.83353743256285,123.29822280729658,0.854654348839097,2025.0
2025,2036,5,0,Wisconsin,3,64,64,85.0,0,Montana,14,64,64,66.0,1,13.0,Wisconsin,B10,26-9,25.99,122.1,13.0,96.1,28.0,67.6,152.0,-0.033,270.0,13.91,22.0,114.3,22.0,100.4,26.0,-0.1,174.0,2025.0,161.0,Montana,BSky,25-9,0.27,110.8,98.0,110.5,252.0,67.1,193.0,0.186,1.0,-2.32,203.0,106.4,178.0,108.8,239.0,8.57,28.0,2025.0,Wisconsin,12.0,122.43035063171342,96.11281594533158,0.941762618101104,67.47347734115786,0.7332336647888628,0.5001601554301586,0.6506168125509911,5.940911348893766,134.24243724912887,103.68545013174368,0.9512134768790274,2025.0,Montana,133.0,112.00553589849936,108.98553190190366,0.5779421361409817,66.98528702474036,0.4151546196344896,0.4944756194940641,0.8478909489049954,-3.069177381380795,102.32756258551927,109.47498136709818,0.315086524836035,2025.0
2025,2036,6,0,Saint Mary's,7,64,64,59.0,0,Vanderbilt,10,64,64,56.0,1,22.0,Saint Mary's,WCC,28-5,23.14,115.3,56.0,92.2,8.0,61.7,359.0,0.005,162.0,5.43,87.0,111.1,71.0,105.6,121.0,5.15,48.0,2025.0,48.0,Vanderbilt,SEC,20-12,16.14,117.9,30.0,101.8,84.0,69.5,63.0,0.025,113.0,12.91,33.0,113.7,30.0,100.8,38.0,-6.83,343.0,2025.0,Saint Mary's,24.0,114.96507041279422,92.78402695529287,0.92165647311788,61.76739224394407,0.5992100773988814,0.5782671162658416,0.7744647483411299,4.145801011107246,122.02466984828284,94.42752469463416,0.9501921795282872,2025.0,Vanderbilt,42.0,118.6414003833798,101.16580084956044,0.8620550555810648,69.5660349605463,0.6877259707437786,0.385354916008566,0.6338794507743338,1.4927718881449052,125.0737048104826,106.02683115282774,0.8698832272965343,2025.0
2025,2036,7,0,Alabama,2,64,64,90.0,0,Robert Morris,15,64,64,81.0,1,6.0,Alabama,SEC,25-8,30.01,126.6,4.0,96.5,31.0,74.9,1.0,0.029,103.0,19.6,1.0,118.3,1.0,98.7,3.0,12.1,10.0,2025.0,138.0,Robert Morris,Horz,26-8,2.16,107.0,171.0,104.9,131.0,67.8,140.0,0.088,23.0,-6.14,304.0,104.6,275.0,110.7,355.0,-8.54,352.0,2025.0,Alabama,5.0,127.63431250721868,96.3555875529754,0.9620546519869744,74.64530030548477,0.8272843444413476,0.7206031228913149,0.545749567569339,9.767871646400147,131.2731297117418,98.22510552838868,0.965617169819675,2025.0,Robert Morris,149.0,105.897565254628,105.0222307112076,0.5238450091723056,67.89852671386683,0.3396846312708674,0.3206711572221918,0.9011531454881212,-4.304385415366918,94.15513281555268,118.83024028372355,0.064365343006121,2025.0
2025,2036,8,0,Houston,1,64,64,78.0,0,SIUE,16,64,64,40.0,1,3.0,Houston,B12,30-4,35.42,123.2,10.0,87.8,2.0,61.5,360.0,0.015,138.0,13.68,24.0,113.6,33.0,99.9,17.0,2.59,100.0,2025.0,216.0,SIUE,OVC,22-11,-4.25,102.0,255.0,106.2,160.0,65.9,261.0,0.052,67.0,-9.01,357.0,101.4,349.0,110.4,345.0,-3.37,276.0,2025.0,Houston,1.0,124.79116814038312,87.98706334888266,0.9823410658141606,61.42459571231544,0.7616491887528929,0.5592750772838015,0.6234285245261073,11.550293928454796,136.92933487850507,95.16408226257124,0.9849974322311276,2025.0,SIUE,218.0,101.28872839749982,105.70797204882692,0.379632227133279,65.80045326843229,0.2733202548746754,0.3047853933289343,0.9026474645896022,-7.818853935097364,96.1846929404388,105.00092654485918,0.267266086793433,2025.0
2025,2036,9,0,Gonzaga,8,64,64,89.0,0,Georgia,9,64,64,68.0,1,9.0,Gonzaga,WCC,25-8,27.29,123.6,9.0,96.3,29.0,70.2,46.0,-0.074,341.0,7.04,72.0,110.8,74.0,103.8,79.0,8.76,26.0,2025.0,35.0,Georgia,SEC,20-12,19.35,115.4,54.0,96.1,27.0,66.5,221.0,-0.001,183.0,13.61,25.0,113.9,25.0,100.3,24.0,-5.4,322.0,2025.0,Gonzaga,11.0,123.30354561969838,96.42680415633252,0.944141109714098,70.14058738718329,0.6419804482114285,0.6615937354486038,0.7318641973437555,2.7221126542431704,130.885317001468,102.87630719913194,0.9409848312696096,2025.0,Georgia,30.0,115.92271721475888,95.7709313395952,0.8998980303360328,66.39369318379741,0.700535745294643,0.430714812428671,0.6138909485759642,2.048687567079785,117.64807672071564,98.54933304207188,0.8846392509978926,2025.0
