game-string,home-score,away-score,home-off,home-pass,home-pblk,home-recv,home-run,home-rblk,away-off,away-pass,away-pblk,away-recv,away-run,away-rblk,home-def,home-rdef,home-tack,home-prsh,home-cov,away-def,away-rdef,away-tack,away-prsh,away-cov,date
NOS-AC-09/13/2015,31.0,19.0,73.3,67.3,73.7,70.5,55.7,73.4,70.2,73.1,89.8,57.5,60.9,75.1,59.4,61.4,30.0,55.0,60.0,51.9,54.9,72.4,61.8,48.0,09/13/2015
AC-CHB-09/20/2015,23.0,48.0,64.0,57.8,76.0,65.5,56.0,65.1,78.1,90.1,58.0,81.9,61.1,55.5,57.8,68.1,70.9,72.0,41.5,69.5,62.3,60.5,57.5,78.5,09/20/2015
SF-AC-09/27/2015,47.0,7.0,74.2,84.4,85.8,74.4,52.8,56.2,39.8,18.2,65.2,51.0,61.7,58.1,86.6,69.9,60.9,63.0,91.1,54.4,72.0,61.6,56.1,45.4,09/27/2015
SLR-AC-10/04/2015,22.0,24.0,69.4,74.5,66.1,63.2,63.8,63.0,71.2,81.6,78.7,70.1,57.0,58.8,69.2,61.3,65.3,65.4,74.0,61.8,61.7,59.3,71.7,53.4,10/04/2015
AC-DL-10/11/2015,17.0,42.0,63.4,52.4,90.2,63.9,41.7,63.0,90.1,93.5,77.3,79.8,60.4,84.1,52.1,50.4,75.3,61.3,53.3,64.3,71.3,72.3,53.2,69.6,10/11/2015
AC-PS-10/18/2015,25.0,13.0,69.9,42.2,66.5,73.7,78.7,66.3,75.8,71.8,66.4,78.2,42.5,73.3,63.2,67.4,89.4,61.4,59.6,68.0,64.6,59.8,63.3,71.6,10/18/2015
BR-AC-10/26/2015,26.0,18.0,83.2,90.0,64.8,76.2,61.5,76.4,76.4,74.3,67.0,72.6,62.8,73.5,68.1,52.4,62.3,60.3,76.6,58.6,65.2,58.0,60.7,50.0,10/26/2015
AC-CLB-11/01/2015,20.0,34.0,60.4,55.3,68.1,67.7,45.8,55.4,80.3,76.1,67.1,88.3,36.7,79.4,60.3,65.6,67.2,72.9,49.4,67.6,64.2,51.1,69.1,66.1,11/01/2015
AC-SS-11/15/2015,32.0,39.0,65.5,51.1,72.1,60.3,90.3,61.0,77.0,76.0,50.2,79.7,67.4,64.6,66.0,71.5,72.0,82.2,46.5,62.4,45.9,44.3,65.4,65.2,11/15/2015
CNB-AC-11/22/2015,34.0,31.0,73.1,61.8,62.3,82.3,54.2,66.9,73.4,71.8,57.9,69.5,56.7,85.0,55.4,48.1,55.4,72.4,50.7,66.6,77.4,68.8,68.8,53.8,11/22/2015
AC-SF-11/29/2015,13.0,19.0,69.5,55.8,82.5,68.5,61.8,68.4,70.3,74.7,78.7,68.7,57.9,58.3,62.9,77.1,79.6,60.6,57.3,62.1,69.7,79.8,51.9,61.2,11/29/2015
AC-SLR-12/06/2015,3.0,27.0,51.1,42.4,76.0,50.5,56.5,65.5,80.4,79.4,47.2,79.4,63.6,73.6,58.7,58.8,70.6,76.4,46.2,78.2,63.9,74.1,63.0,82.3,12/06/2015
MV-AC-12/10/2015,23.0,20.0,78.4,65.6,58.5,79.6,67.1,73.5,71.7,65.0,53.7,70.2,61.0,75.6,57.1,64.2,53.0,70.9,44.2,63.1,72.5,59.6,71.3,50.0,12/10/2015
AC-PE-12/20/2015,17.0,40.0,68.5,67.9,72.1,70.2,41.6,71.6,92.8,91.8,63.8,71.4,83.3,90.2,51.9,41.6,40.2,66.1,55.6,66.9,72.7,86.7,71.6,54.8,12/20/2015
GBP-AC-12/27/2015,38.0,8.0,70.9,65.3,71.5,67.9,67.2,66.7,57.0,51.9,57.3,59.6,52.5,64.7,80.8,76.0,83.2,81.8,72.3,56.6,68.9,45.6,54.0,48.1,12/27/2015
SS-AC-01/03/2015,6.0,36.0,56.9,68.9,56.4,53.7,53.1,54.4,72.8,63.7,67.3,73.9,71.6,62.7,67.6,68.5,71.4,59.9,66.1,84.9,90.5,84.8,71.5,78.5,01/03/2015
GBP-AC-01/16/2015,26.0,20.0,67.7,49.2,62.1,74.3,53.5,77.8,76.7,70.0,88.1,69.9,67.6,73.5,69.8,60.5,68.0,58.1,76.9,72.7,67.9,55.4,64.5,72.0,01/16/2015
AC-CP-01/24/2015,49.0,15.0,80.7,81.8,90.0,75.4,67.9,63.3,53.4,27.8,79.2,62.0,60.7,68.3,77.0,60.1,64.1,64.3,82.5,53.8,72.2,63.5,51.2,40.9,01/24/2015
PE-AF-09/14/2015,26.0,24.0,77.7,61.2,82.0,82.8,57.2,72.3,64.4,62.1,79.0,61.2,65.3,61.9,59.2,60.8,61.5,54.6,61.7,71.6,66.5,56.8,60.2,72.5,09/14/2015
